Eje X,Eje Z
-10.92,23.76
-11.03,23.8
-11.13,23.78
-11.24,23.82
-11.35,23.72
-11.45,23.74
-11.56,23.71
-11.66,23.74
-11.77,23.78
-11.87,23.76
-11.99,23.7
-12.09,23.67
-12.2,23.67
-12.31,23.66
-12.41,23.68
-12.51,23.71
-12.62,23.71
-12.73,23.7
-12.83,23.68
-12.94,23.67
-13.05,23.69
-13.15,23.66
-13.26,23.63
-13.36,23.67
-13.47,23.69
-13.58,23.67
-13.68,23.69
-13.79,23.63
-13.89,23.66
-14.0,23.68
-14.11,23.67
-14.22,23.61
-14.33,23.64
-14.43,23.67
-14.54,23.68
-14.64,23.68
-14.75,23.7
-14.86,23.68
-14.97,23.69
-15.07,23.68
-15.18,23.67
-15.29,23.68
-15.4,23.67
-15.5,23.68
-15.62,23.62
-15.73,23.6
-15.83,23.63
-15.93,23.67
-16.05,23.64
-16.15,23.64
-16.26,23.65
-16.36,23.67
-16.48,23.59
-16.59,23.59
-16.7,23.53
-16.81,23.57
-16.92,23.54
-17.02,23.62
-17.12,23.64
-17.23,23.66
-17.34,23.63
-17.45,23.62
-17.56,23.57
-17.66,23.64
-17.77,23.6
-17.88,23.57
-17.99,23.58
-18.1,23.56
-18.2,23.59
-18.31,23.6
-18.42,23.62
-18.52,23.62
-18.64,23.58
-18.74,23.61
-18.85,23.58
-18.96,23.61
-19.07,23.58
-19.18,23.54
-19.29,23.55
-19.39,23.6
-19.5,23.61
-19.61,23.58
-19.71,23.59
-19.82,23.59
-19.93,23.56
-20.04,23.59
-20.15,23.54
-20.26,23.53
-20.37,23.53
-20.47,23.54
-20.58,23.54
-20.69,23.54
-20.8,23.51
-20.91,23.52
-21.01,23.57
-21.12,23.55
-21.23,23.53
-21.34,23.55
-21.46,23.53
-21.56,23.57
-21.67,23.55
-21.78,23.57
-21.91,23.46
-22.01,23.52
-22.12,23.54
-22.23,23.49
-22.33,23.57
-22.44,23.56
-22.55,23.58
-22.67,23.52
-22.78,23.49
-22.89,23.52
-23.0,23.54
-23.11,23.54
-23.23,23.46
-23.34,23.47
-23.45,23.48
-23.56,23.46
-23.68,23.43
-23.77,23.52
-23.88,23.52
-24.0,23.51
-24.11,23.46
-24.21,23.55
-24.33,23.51
-24.44,23.5
-24.55,23.47
-24.66,23.48
-24.76,23.55
-24.88,23.53
-24.99,23.52
-25.1,23.5
-25.21,23.5
-25.33,23.45
-25.44,23.48
-25.55,23.49
-25.66,23.46
-25.77,23.49
-25.88,23.49
-25.99,23.47
-26.1,23.47
-26.21,23.48
-26.31,23.52
-26.43,23.5
-26.54,23.47
-26.66,23.45
-26.76,23.49
-26.87,23.48
-26.98,23.48
-27.1,23.48
-27.21,23.48
-27.31,23.52
-27.42,23.5
-27.54,23.49
-27.65,23.48
-27.75,23.51
-27.88,23.44
-27.99,23.42
-28.1,23.45
-28.22,23.41
-28.33,23.41
-28.44,23.41
-28.55,23.44
-28.67,23.39
-28.76,23.49
-28.88,23.48
-28.99,23.49
-29.11,23.49
-29.22,23.5
-29.37,23.33
-29.45,23.47
-29.57,23.43
-29.7,23.39
-29.8,23.44
-29.93,23.35
-30.04,23.4
-30.16,23.34
-30.25,23.46
-30.37,23.46
